date,VaR_95,VaR_99
2014-10-30,-2.957549591873282,-5.1974724225969835
2014-10-31,-2.853391327667352,-5.014429099406924
2014-11-03,-2.808600268195566,-4.935715188058422
2014-11-04,-2.827640063880094,-4.969174918801106
2014-11-05,-2.7831100376382323,-4.8909197361980645
2014-11-06,-2.68943199211299,-4.726293905558369
2014-11-07,-2.612136537279948,-4.590458146120649
2014-11-10,-2.544036836487496,-4.47078261546228
2014-11-11,-2.4887642135438295,-4.373648848284315
2014-11-12,-2.4814468634438294,-4.360789647053762
2014-11-13,-2.5858863477922567,-4.544327174614671
2014-11-14,-2.66934075035786,-4.6909864080121055
2014-11-17,-2.6955404482549525,-4.737028647734707
2014-11-18,-2.6182279006479816,-4.601162850179835
2014-11-19,-2.6716459132150856,-4.695037403610944
2014-11-20,-2.646283384450539,-4.650466369474012
2014-11-21,-2.722319686619848,-4.784089347336209
2014-11-24,-2.6354573989885193,-4.631441241022778
2014-11-25,-2.8185488686873637,-4.953198437313696
2014-11-26,-2.7951422428609685,-4.912064624182373
2014-11-28,-2.7970258234662517,-4.9153747489825115
2014-12-01,-2.7016214886760452,-4.7477152106840395
2014-12-02,-3.4829188995314126,-6.1207341984045955
2014-12-03,-3.313363817951662,-5.822765277429121
2014-12-04,-3.2255972460089963,-5.668528020156642
2014-12-05,-3.0886904763572645,-5.427933860151022
2014-12-08,-2.973345756851395,-5.225231934079776
2014-12-09,-3.2762492550672158,-5.75754171614085
2014-12-10,-3.2621271376284953,-5.732724104920361
2014-12-11,-3.3902052791046833,-5.957803207596819
2014-12-12,-3.2269116882536784,-5.670837965300623
2014-12-15,-3.306398485890063,-5.810524697793918
2014-12-16,-3.2975452728323793,-5.79496643603387
2014-12-17,-3.2893185154780347,-5.780509081001145
2014-12-18,-3.51591710014988,-6.17872383894387
2014-12-19,-3.837074116598993,-6.74311158104781
2014-12-22,-3.6576919488938207,-6.427872955019304
2014-12-23,-3.509506928731857,-6.1674588751167745
2014-12-24,-3.334837125659042,-5.860501559159687
2014-12-26,-3.190677860404795,-5.607162170471291
2014-12-29,-3.242054959943708,-5.697450109764098
2014-12-30,-3.0883418339962763,-5.4273211708282245
2014-12-31,-3.0848658867828753,-5.421212688375826
2015-01-02,-3.2492394460952414,-5.710075821517412
2015-01-05,-3.1732665065625287,-5.576564194469833
2015-01-06,-3.626599564810208,-6.373232515761272
2015-01-07,-3.424572966858056,-6.018199526839411
2015-01-08,-3.3632404488522925,-5.910416356670664
2015-01-09,-4.048158392567969,-7.114062149791345
2015-01-12,-3.7971025297447594,-6.672867206808684
2015-01-13,-3.981343083826166,-6.996643755338366
2015-01-14,-3.7758862799574975,-6.635582667782449
2015-01-15,-3.5704656663367866,-6.274585179435908
2015-01-16,-3.8859115926570547,-6.8289364935694765
2015-01-20,-3.700878431829597,-6.5037670515052675
2015-01-21,-3.863579972657183,-6.789691850159209
2015-01-22,-3.661392562067345,-6.434376255917095
2015-01-23,-3.8395413560579903,-6.747447403203866
2015-01-26,-3.6234115802368425,-6.367630086659403
2015-01-27,-3.421292319027692,-6.012434255253291
2015-01-28,-4.081023378165136,-7.171817683892846
2015-01-29,-5.294768497640096,-9.304801963807186
2015-01-30,-5.306891887888121,-9.326107096493933
2015-02-02,-5.034756742707359,-8.847868315246464
2015-02-03,-4.742103302897921,-8.333571551815261
2015-02-04,-4.415762234165896,-7.760073575735272
2015-02-05,-4.1489715234682985,-7.291226877351582
2015-02-06,-3.8895677549388545,-6.8353616783523155
